NL
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
2
1
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
3
2
1
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
4
2
3
1
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
5
2
3
4
1
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
6
2
3
4
5
1
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
7
2
3
4
5
6
1
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
8
2
3
4
5
6
7
1
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
9
2
3
4
5
6
7
8
1
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
10
2
3
4
5
6
7
8
9
1
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
11
2
3
4
5
6
7
8
9
10
1
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
12
2
3
4
5
6
7
8
9
10
11
1
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
13
2
3
4
5
6
7
8
9
10
11
12
1
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
14
2
3
4
5
6
7
8
9
10
11
12
13
1
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
15
2
3
4
5
6
7
8
9
10
11
12
13
14
1
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
16
2
3
4
5
6
7
8
9
10
11
12
13
14
15
1
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
17
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
1
18
19
20
21
22
23
24
25
26
27
28
29
30
31
18
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
1
19
20
21
22
23
24
25
26
27
28
29
30
31
19
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
1
20
21
22
23
24
25
26
27
28
29
30
31
20
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
1
21
22
23
24
25
26
27
28
29
30
31
21
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
1
22
23
24
25
26
27
28
29
30
31
22
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
1
23
24
25
26
27
28
29
30
31
23
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
1
24
25
26
27
28
29
30
31
24
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
1
25
26
27
28
29
30
31
25
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
1
26
27
28
29
30
31
26
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
1
27
28
29
30
31
27
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
1
28
29
30
31
28
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
1
29
30
31
29
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
1
30
31
30
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
1
31
31
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
1
